Sony ILCA-77M2,Sony/ILCA-77M2/_DSC0244.ARW,ILCA-77M2,100,2.321,3.124,1.341
Sony ILCE-1,Sony/ILCE-1/A1_full_compressed.ARW,ILCE-1,500,1.992,3.370,2.286
Sony ILCE-5000,Sony/ILCE-5000/_DSC0793.ARW,ILCE-5000,100,1.729,3.176,2.607
Sony ILCE-5100,Sony/ILCE-5100/DSC04601.ARW,ILCE-5100,100,1.785,2.929,1.894
Sony ILCE-6000,Sony/ILCE-6000/DSC01542.ARW,ILCE-6000,100,2.354,4.910,3.242
Sony ILCE-6100,Sony/ILCE-6100/DSC00033.ARW,ILCE-6100,100,1.943,3.871,2.579
Sony ILCE-6300,Sony/ILCE-6300/AST05226.ARW,ILCE-6300,100,2.729,3.986,2.003
Sony ILCE-6400,Sony/ILCE-6400/DSC00087.ARW,ILCE-6400,250,1.960,3.343,2.245
Sony ILCE-6500,Sony/ILCE-6500/_DSC6914.ARW,ILCE-6500,100,2.364,3.818,2.693
Sony ILCE-6600,Sony/ILCE-6600/_DSC0268.ARW,ILCE-6600,100,1.854,3.497,2.420
Sony ILCE-6700,Sony/ILCE-6700/DSC00001.ARW,ILCE-6700,100,2.169,8.626,11.083
Sony ILCE-7,Sony/ILCE-7/Sony_-_ILCE-7_-_14bit_uncompressed_(32).arw,ILCE-7,200,1.924,3.157,2.229
Sony ILCE-7C,Sony/ILCE-7C/DSC00018.ARW,ILCE-7C,2000,1.841,3.107,2.150
Sony ILCE-7CM2,Sony/ILCE-7CM2/DSC02429.ARW,ILCE-7CM2,100,4.078,9.106,5.458
Sony ILCE-7M2,Sony/ILCE-7M2/SONY ILCE-7M2 daylight.arw,ILCE-7M2,100,1.511,2.724,2.187
Sony ILCE-7M3,Sony/ILCE-7M3/UNCOMPRESSED_14bit.ARW,ILCE-7M3,400,4.582,10.522,7.125
Sony ILCE-7M4,Sony/ILCE-7M4/ILCE-7M4_DSC06673_FullFrame-Raw-Uncompressed.ARW,ILCE-7M4,250,3.673,7.759,4.142
Sony ILCE-7R,Sony/ILCE-7R/DSC06741.ARW,ILCE-7R,50,2.138,3.947,2.521
Sony ILCE-7RM2,Sony/ILCE-7RM2/12-bit-compressed.ARW,ILCE-7RM2,100,1.887,3.170,2.114
Sony ILCE-7RM3,Sony/ILCE-7RM3/DSC03791.ARW,ILCE-7RM3,100,1.927,3.077,2.307
